Timestamp,X,Y,Polarity
12832,188,67,0
12835,160,58,1
12873,66,74,0
12876,120,37,1
12898,31,2,1
12923,96,73,0
12936,177,67,0
12949,136,59,0
12954,168,68,0
12961,43,52,0
12971,159,68,0
12974,29,88,0
12981,179,67,0
13002,101,96,0
13011,166,56,1
13012,193,62,0
13018,74,62,1
13020,47,52,0
13032,64,73,0
13098,184,61,1
13105,114,20,1
13112,63,29,1
13137,37,54,1
13152,111,54,0
13152,155,68,0
13176,174,67,0
13190,118,75,0
13195,9,88,1
13200,104,74,0
13202,31,42,1
13204,223,107,1
13205,75,64,1
13214,143,55,0
13221,152,57,1
13230,141,47,1
13250,31,2,1
13282,148,51,0
13294,136,59,0
13301,144,52,1
13315,66,73,0
13323,35,47,0
13331,84,73,0
13342,33,40,1
13357,74,64,1
13371,132,78,0
13372,37,41,1
13379,159,56,1
13387,187,56,1
13388,140,56,0
13392,117,71,1
13396,148,50,1
13416,79,65,1
13417,86,65,1
13418,209,51,1
13421,93,72,0
13430,132,52,0
13453,52,54,1
13471,68,80,0
13472,136,59,0
13501,177,57,1
13519,183,66,0
13545,69,66,1
13546,39,56,0
13560,44,58,1
13569,190,107,0
13570,158,59,1
13583,160,59,1
13584,151,59,1
13585,188,65,0
13592,39,26,1
13610,102,60,1
13610,191,60,1
13620,39,54,1
13652,142,47,1
13654,134,47,1
13659,143,53,1
13659,93,66,1
13659,210,66,1
13661,169,60,0
13669,171,60,1
13705,159,57,1
13714,176,57,1
13715,38,52,0
13728,27,74,0
13741,89,72,0
13744,90,72,0
13760,31,2,1
13767,78,62,1
13768,38,68,1
13771,45,54,1
13772,141,54,1
13772,129,79,0
13789,217,25,0
13797,78,62,1
13816,163,56,1
13817,164,56,1
13850,189,64,0
13862,58,64,1
13869,158,68,0
13872,130,17,1
13872,37,68,1
13884,184,61,1
13893,138,47,1
13918,180,53,0
13928,175,57,1
13931,33,47,0
13933,71,73,0
13955,58,73,1
13956,34,51,1
13964,35,51,1
13978,64,78,1
13981,38,69,0
13992,100,61,1
13994,94,66,1
14000,76,66,1
14001,110,81,0
14004,147,59,1
14015,145,59,1
14022,56,73,0
14023,57,73,0
14027,181,57,1
14041,135,57,1
14042,172,67,0
14069,44,54,1
14074,38,54,1
14074,100,58,1
14083,180,58,1
14096,142,59,1
14134,185,59,1
14135,144,55,0
14174,100,74,0
14180,86,73,0
14187,36,51,1
14193,36,51,1
14194,67,56,0
14201,57,65,1
14210,43,57,0
14239,99,96,0
14242,33,53,0
14251,209,51,1
14260,91,72,0
14266,165,68,0
14269,95,66,0
14308,41,55,0
14325,42,62,1
14332,177,60,1
14337,147,56,0
14346,144,69,0
14355,38,41,1
14369,102,61,1
14372,86,61,1
14372,178,67,0
14374,37,67,1
14375,108,91,0
14377,145,54,0
14393,31,2,1
14399,65,63,1
14433,42,54,0
14443,163,68,0
14474,151,68,0
14483,81,88,1
14484,133,52,0
14490,145,52,1
14497,139,73,0
14506,146,49,1
14525,36,59,0
14534,123,38,1
14541,85,72,0
14541,171,56,1
14550,140,71,1
14565,129,17,1
14580,88,71,0
14589,124,47,1
14601,95,64,0
14617,139,57,0
14618,154,55,1
14622,78,73,0
14630,89,61,1
14661,94,61,1
14661,29,88,1
14661,42,52,0
14662,134,48,1
14663,149,48,1
14679,195,59,1
14693,187,59,1
14694,146,59,1
14697,59,73,0
14697,149,51,0
14704,184,61,1
14723,185,66,0
14729,84,65,1
14731,63,74,0
14765,39,43,1
14766,177,47,0
14769,100,83,1
14774,39,57,0
14780,192,57,1
14781,133,57,1
14781,88,72,0
14790,164,58,1
14796,192,58,1
14796,33,55,1
14819,77,62,1
14832,32,53,0
14848,144,53,1
14848,35,54,1
14869,164,51,0
14935,123,82,0
14946,200,82,1
14947,45,55,0
14956,74,74,0
14957,31,40,1
14958,117,71,1
14982,53,73,0
14983,217,25,0
15013,162,68,0
15028,178,57,1
15094,141,58,1
15103,101,74,0
15103,91,58,1
15115,136,56,1
15120,137,56,1
15121,40,54,1
15123,121,82,0
15140,110,54,0
15147,46,15,1
15161,52,55,1
15163,40,46,0
15164,83,65,1
15176,116,77,1
15202,87,61,1
15218,159,59,1
15229,209,51,1
15237,58,73,1
15239,170,68,0
15272,138,65,0
15279,71,56,0
15283,35,50,1
15283,46,52,0
15287,134,57,1
15295,133,77,0
15298,118,41,1
15322,164,68,0
15338,158,62,1
15367,145,69,0
15378,148,56,0
15384,100,96,0
15396,136,59,1
15398,124,82,0
15415,71,68,0
15418,43,83,0
15424,138,50,0
15426,37,69,0
15431,87,73,0
15441,98,61,1
15449,99,61,1
15450,51,54,1
15452,36,54,1
15452,41,54,1
15460,156,57,1
15466,39,67,1
15478,110,89,0
15485,27,74,1
15487,126,60,0
15494,136,79,0
15497,35,68,1
15516,132,17,1
15527,52,66,1
15529,132,57,1
15554,151,57,1
15554,75,62,1
15562,169,56,1
15574,167,60,0
15581,167,68,0
15582,54,73,0
